Lookback,Asset,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Avg_Win_Rate,Number_of_Trades,Ulcer_Performance_Index,Profit_Factor
5,eth,,,,,-12.6087504030767,49.40282636502335,64887,,inf
10,eth,,,,,-120.35299909968086,50.12559910000154,64887,,inf
15,eth,,,,,-267.18123492856586,50.21344141534004,64887,,0.0
20,eth,,,,,-160.59062866575272,50.171831897548124,64887,,0.0
25,eth,,,,,-76.89488941406793,49.74803125337114,64887,,inf
30,eth,,,,,-143.3340330214467,49.96224321533696,64887,,0.0
35,eth,,,,,-186.8063505732065,49.88518855275933,64887,,inf
40,eth,,,,,-148.22994957066655,49.820462636194115,64887,,0.0
45,eth,,,,,-10091.46255405657,49.97303086809783,64887,,inf
50,eth,,,,,-91.90595291536663,49.502997426374264,64887,,0.0
55,eth,,,,,-10054.084929657438,49.92217479079659,64887,,inf
60,eth,,,,,-5231.341163951158,49.91138713803572,64887,,0.0
65,eth,,,,,-2400.011396134592,49.85590778097983,64887,,0.0
70,eth,,,,,-2064.8443785742033,49.81275716993635,64887,,inf
75,eth,,,,,-1070.3169220443283,49.823544822697215,64887,,0.0
80,eth,,,,,-26.997194036197946,49.57542880919725,64887,,inf
85,eth,,,,,-2002.8806762594031,49.74649016011959,64887,,inf
90,eth,,,,,-1260.9804690891663,49.79426405091772,64887,,inf
