Lookback,Asset,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Avg_Win_Rate,Number_of_Trades,Ulcer_Performance_Index,Profit_Factor
5,BTC,,,0.43615603224518823,,-2.96938974067501e+167,85.47452750066549,78888,,8.117946722776205
10,BTC,,,1.488766543162595,,-5.159628373834678e+167,85.50494999302818,78888,,5.35158228179648
15,BTC,,,0.49059480099008257,,-4.048125050285706e+167,85.51509082381574,78888,,7.045586158598542
20,BTC,,,0.892490989902296,,-8.544203940106768e+166,85.23621797715778,78888,,6.6394046829358295
25,BTC,,,0.9011252388258059,,-8.519691053035507e+166,85.19058423861375,78888,,5.306257423830517
30,BTC,,,1.493322222923497,,-6.634059794265747e+166,85.29833056573159,78888,,5.457833993548237
35,BTC,,,1.6898149783727963,,-3.0684233188488324e+166,85.23241516561244,78888,,4.219203717750881
40,BTC,,,1.6960720512187826,,-7.38223344004187e+165,85.31607701960982,78888,,3.973859727510453
45,BTC,,,1.7933306511928988,,-1.7186908980123646e+165,85.12086602694926,78888,,4.099355376295137
50,BTC,,,1.7183033807022525,,-3.3500772689615714e+165,84.98016199977184,78888,,3.8969317534258106
55,BTC,,,3.1244314608452752,,-5.2720752093017515e+165,85.07649989225368,78888,,4.379097959752559
60,BTC,,,2.1136330932238687,,-1.2701942160916926e+166,85.0828379114959,78888,,3.375392721313996
65,BTC,,,1.7058714036660887,,-5.536674673201622e+165,84.93833107277314,78888,,3.9554266130615714
70,BTC,,,1.7123320735779834,,-1.3790627183541172e+165,84.91931701504646,78888,,3.793475397846513
75,BTC,,,1.7122986657387733,,-2.178090063649877e+165,84.93072544968247,78888,,3.8393409848594047
80,BTC,,,1.720977119463606,,-4.18711793852833e+165,85.04734500373942,78888,,3.764748622382808
85,BTC,,,1.8459021666621167,,-7.477297786385882e+164,84.93833107277314,78888,,3.405508535454784
90,BTC,,,2.3089284458820756,,-9.310687823813396e+164,84.91804941119801,78888,,2.8466909937107814
