Lookback,Asset,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Avg_Win_Rate,Number_of_Trades,Ulcer_Performance_Index,Profit_Factor
5,eth,,,,,-1.0106824324348108e+164,84.68461526606976,64887,,inf
10,eth,,,,,-2.1894339944206925e+164,84.94506002558215,64887,,inf
15,eth,,,,,-2.0435557033309798e+163,84.5983140439828,64887,,inf
20,eth,,,,,-1.3300913574040288e+163,84.48735532987101,64887,,inf
25,eth,,,,,-5.790386528437496e+162,84.20995854459153,64887,,inf
30,eth,,,,,-4.39378717371974e+162,84.14215044152321,64887,,inf
35,eth,,,,,-3.3476193521819056e+162,84.42108832005425,64887,,inf
40,eth,,,,,-1.4536195111605863e+162,84.21149963784309,64887,,inf
45,eth,,,,,-7.278964558654974e+161,84.27314336790519,64887,,inf
50,eth,,,,,-6.371609903009416e+161,84.3085885126909,64887,,inf
55,eth,,,,,-4.873907863964168e+161,84.24232150287413,64887,,inf
60,eth,,,,,-2.535550951062971e+161,84.06509577894559,64887,,inf
65,eth,,,,,-1.6476808093301598e+161,84.28393102066606,64887,,inf
70,eth,,,,,-2.9885796757891836e+161,84.33170491146419,64887,,inf
75,eth,,,,,-3.842599071504679e+162,84.49506079612877,64887,,inf
80,eth,,,,,-6.440184573310913e+161,84.3902664550232,64887,,inf
85,eth,,,,,-1.0714270212805756e+161,84.14985590778097,64887,,inf
90,eth,,,,,-3.442059354493316e+161,84.20533526483688,64887,,inf
